title: Toward Cross-Lingual Quality Classifiers for Multilingual Pretraining Data Selection
source: arxiv
year: 2026
document_id: toward-cross-lingual-quality-classifiers-for-multilingual-pretraining-data-selection
authors: Yassine Turki; Vinko Sabolčec; Bettina Messmer; Martin Jaggi
page: 4
section: a-datasetcounts
chunk: 77
source_ref: https://arxiv.org/pdf/2604.20549v1

Published as a paper at 3rd DATA-FM workshop @ ICLR 2026, Brazil.
Table 11 – Continued from previous page
Language OA MMLU Inc Tag Euro Wiki AH AC WQA Total
ckb_Arab 0 0 0 0 0 0 79 3,572,444 0 3,572,523
lat_Latn 0 0 0 4 0 7,756 0 0 21,836 29,596
lij_Latn 0 0 0 0 0 6,715 0 5,955 16,162 28,832
oci_Latn 0 0 0 0 0 6,813 0 0 17,194 24,007
lim_Latn 0 0 0 0 0 6,693 0 0 16,668 23,361
nds_Latn 0 0 0 0 0 6,988 0 0 16,216 23,204
vec_Latn 0 0 0 0 0 5,424 0 0 17,749 23,173
scn_Latn 0 0 0 0 0 5,999 0 0 16,842 22,841
pan_Guru 0 0 0 0 0 7,909 6,385 8,541 0 22,835
bar_Latn 0 0 0 0 0 3,070 0 0 19,563 22,633
hrv_Latn 0 0 550 11 30 0 0 6,913 14,966 22,470
fao_Latn 0 0 0 0 0 6,065 0 0 16,102 22,167
bre_Latn 0 0 0 1 0 6,381 0 0 15,530 21,912
arg_Latn 0 0 0 0 0 5,304 0 0 15,439 20,743
roh_Latn 0 0 0 0 0 2,062 0 0 17,823 19,885
srd_Latn 0 0 0 0 0 5,606 0 0 13,850 19,456
kmr_Latn 0 0 0 0 0 6,986 0 0 11,674 18,660
ast_Latn 0 0 0 0 0 0 0 0 18,383 18,383
fry_Latn 0 0 0 0 0 0 0 0 17,450 17,450
bos_Latn 0 0 0 0 0 0 0 0 15,933 15,933
sco_Latn 0 0 0 0 0 0 0 0 15,212 15,212
dag_Latn 0 0 0 0 0 0 0 0 12,848 12,848
szl_Latn 0 0 0 0 0 4,755 0 0 7,388 12,143
fur_Latn 0 0 0 0 0 3,114 0 0 7,152 10,266
lmo_Latn 0 0 0 0 0
